Unnamed: 0,French,English
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
7,demande,request
8,genre,kind
9,mois,month
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
21,bébé,baby
23,heures,hours
24,vont,will
25,pendant,while
26,revoir,meet again
28,place,square
29,parle,speak
30,compris,understood
31,savais,knew
32,étaient,were
33,attention,Warning
34,voici,here is
35,pourrais,could
36,affaire,case
37,leurs,their
38,donné,given
39,corps,body
40,endroit,place
41,yeux,eyes
43,écoute,listen
44,dont,whose
45,trouve,find
46,premier,first
47,perdu,lost
48,main,hand
49,côté,side
50,pouvoir,power
51,vieux,old
52,sois,be
53,tiens,here
55,tellement,so much
56,enfant,child
57,point,point
58,venu,came
59,suite,after
60,pardon,sorry
61,venez,come
62,devant,in front of
63,minutes,minutes
64,demandé,request
65,chambre,bedroom
66,mis,placed
67,belle,beautiful
68,droit,law
69,aimerais,would like to
71,mari,husband
72,cause,cause
73,enfin,finally
74,espère,hope
76,attendez,Wait
77,nouvelle,new
78,boulot,job
79,arrêter,Stop
80,terre,Earth
81,compte,account
82,donne,given
83,loin,far
84,fin,end
85,croire,believe
86,gros,large
87,plutôt,rather
89,filles,girls
90,jouer,to play
91,bureau,office
